	dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	orientation	distance	distanceClass	binStart	binEnd	ENFORMER_score
319	FlowFISH_K562	chr12	54262421	54262941	NFE2|chr12:54656205-54656725:*	0.05320696	chr12	54301120	54301121	NFE2	False	0.859766075508	0.999469401052	True	K562	Fulco2019	False	True	38699	0	145	150	0.056425624
320	FlowFISH_K562	chr12	54265861	54266361	COPZ1|chr12:54659645-54660145:*	-0.00953546	chr12	54301202	54301203	COPZ1	False	0.974465417009	0.987639901554	True	K562	Fulco2019	False	True	35341	0	171	176	0.015043108
322	FlowFISH_K562	chr12	54283021	54283521	COPZ1|chr12:54676805-54677305:*	0.02978707	chr12	54301202	54301203	COPZ1	False	0.849777965302	0.999990779266	True	K562	Fulco2019	False	True	18181	0	305	310	0.09140315
324	FlowFISH_K562	chr12	54283021	54283521	NFE2|chr12:54676805-54677305:*	-0.01905085	chr12	54301120	54301121	NFE2	False	0.989389672416	0.950301093944	True	K562	Fulco2019	False	True	18099	0	306	311	0.08842856
325	FlowFISH_K562	chr12	54285841	54286341	COPZ1|chr12:54679625-54680125:*	0.07939677	chr12	54301202	54301203	COPZ1	False	0.143168128595	0.99999999998	True	K562	Fulco2019	False	True	15361	0	327	332	0.07842989
327	FlowFISH_K562	chr12	54285841	54286341	NFE2|chr12:54679625-54680125:*	0.07410614	chr12	54301120	54301121	NFE2	False	0.736690586723	0.994368240921	True	K562	Fulco2019	False	True	15279	0	328	333	0.07960044
328	FlowFISH_K562	chr12	54286541	54287101	COPZ1|chr12:54680325-54680885:*	0.04909931	chr12	54301202	54301203	COPZ1	False	0.730863868925	0.999982531722	True	K562	Fulco2019	False	True	14661	0	333	338	0.23859473
330	FlowFISH_K562	chr12	54286541	54287101	NFE2|chr12:54680325-54680885:*	0.18337188	chr12	54301120	54301121	NFE2	False	0.0848621206057	0.887694881677	True	K562	Fulco2019	False	True	14579	0	334	339	0.534355
331	FlowFISH_K562	chr12	54287161	54288101	COPZ1|chr12:54680945-54681885:*	0.01547751	chr12	54301202	54301203	COPZ1	False	0.898876285674	0.999999999999	True	K562	Fulco2019	False	True	14041	0	338	346	0.13104326
333	FlowFISH_K562	chr12	54287161	54288101	NFE2|chr12:54680945-54681885:*	0.06358756	chr12	54301120	54301121	NFE2	False	0.832942048488	0.987678983206	True	K562	Fulco2019	False	True	13959	0	338	347	0.18748656
334	FlowFISH_K562	chr12	54288141	54289141	COPZ1|chr12:54681925-54682925:*	0.00762015	chr12	54301202	54301203	COPZ1	False	0.974465417009	0.999960687577	True	K562	Fulco2019	False	True	13061	0	345	354	0.08745017
335	FlowFISH_K562	chr12	54288141	54289141	HNRNPA1|chr12:54681925-54682925:*	-0.11405321	chr12	54280193	54280194	HNRNPA1	False	0.782259150499	0.936171228929	True	K562	Fulco2019	False	False	8948	0	510	518	0.03564132
337	FlowFISH_K562	chr12	54288141	54289141	NFE2|chr12:54681925-54682925:*	0.02945798	chr12	54301120	54301121	NFE2	False	0.960322711299	0.831211608885	True	K562	Fulco2019	False	True	12979	0	346	355	0.09839395
338	FlowFISH_K562	chr12	54292001	54292801	COPZ1|chr12:54685785-54686585:*	0.05256269	chr12	54301202	54301203	COPZ1	False	0.238417426971	0.999999951424	True	K562	Fulco2019	False	True	9201	0	376	383	0.4317182
339	FlowFISH_K562	chr12	54292001	54292801	HNRNPA1|chr12:54685785-54686585:*	0.01090167	chr12	54280193	54280194	HNRNPA1	False	0.967613756798	0.999999991796	True	K562	Fulco2019	False	False	12608	0	540	547	0.087095104
341	FlowFISH_K562	chr12	54294101	54294621	COPZ1|chr12:54687885-54688405:*	-0.00375921	chr12	54301202	54301203	COPZ1	False	0.974465417009	1.0	True	K562	Fulco2019	False	True	7101	0	392	397	0.5618866
342	FlowFISH_K562	chr12	54294101	54294621	HNRNPA1|chr12:54687885-54688405:*	0.06774473	chr12	54280193	54280194	HNRNPA1	False	0.81973110245	0.999686869673	True	K562	Fulco2019	False	False	14428	0	556	561	0.04038444
344	FlowFISH_K562	chr12	54294681	54295181	COPZ1|chr12:54688465-54688965:*	0.03093522	chr12	54301202	54301203	COPZ1	False	0.705576792657	1.0	True	K562	Fulco2019	False	True	6521	0	397	401	0.2456111
345	FlowFISH_K562	chr12	54294681	54295181	HNRNPA1|chr12:54688465-54688965:*	0.04995938	chr12	54280193	54280194	HNRNPA1	False	0.850506043356	0.999999556174	True	K562	Fulco2019	False	False	14988	0	561	566	0.06748436
347	FlowFISH_K562	chr12	54296641	54297141	COPZ1|chr12:54690425-54690925:*	0.05722305	chr12	54301202	54301203	COPZ1	False	0.480712345215	0.999999999997	True	K562	Fulco2019	False	True	4561	0	412	417	0.19613853
348	FlowFISH_K562	chr12	54296641	54297141	HNRNPA1|chr12:54690425-54690925:*	-0.01723824	chr12	54280193	54280194	HNRNPA1	False	0.967613756798	0.999555936222	True	K562	Fulco2019	False	False	16948	0	576	581	0.04663033
350	FlowFISH_K562	chr12	54297781	54298341	COPZ1|chr12:54691565-54692125:*	0.00207598	chr12	54301202	54301203	COPZ1	False	0.982489668358	0.999999998596	True	K562	Fulco2019	False	True	3421	0	421	426	0.20551896
351	FlowFISH_K562	chr12	54297781	54298341	HNRNPA1|chr12:54691565-54692125:*	0.0243496	chr12	54280193	54280194	HNRNPA1	False	0.967613756798	0.933701916819	True	K562	Fulco2019	False	False	18148	0	585	590	0.10607542
353	FlowFISH_K562	chr12	54303561	54304061	COPZ1|chr12:54697345-54697845:*	0.05162229	chr12	54301202	54301203	COPZ1	False	0.533769074165	1.0	True	K562	Fulco2019	False	False	2859	0	466	471	0.28889164
354	FlowFISH_K562	chr12	54303561	54304061	HNRNPA1|chr12:54697345-54697845:*	-0.34649651	chr12	54280193	54280194	HNRNPA1	True	7.25048744906e-09	0.998676956916	True	K562	Fulco2019	True	False	23868	0	630	635	0.037479684
356	FlowFISH_K562	chr12	54303561	54304061	NFE2|chr12:54697345-54697845:*	-0.60570454	chr12	54301120	54301121	NFE2	True	1.72095549641e-26	0.992137442928	True	K562	Fulco2019	True	False	2941	0	467	471	0.20959385
357	FlowFISH_K562	chr12	54304241	54304761	COPZ1|chr12:54698025-54698545:*	0.08338429	chr12	54301202	54301203	COPZ1	True	0.0042731745204	1.0	True	K562	Fulco2019	False	False	3559	0	471	476	2.3597453
358	FlowFISH_K562	chr12	54304241	54304761	HNRNPA1|chr12:54698025-54698545:*	-0.61310249	chr12	54280193	54280194	HNRNPA1	True	7.76900306811e-52	0.999999999144	True	K562	Fulco2019	True	False	24568	0	635	640	0.15382782
360	FlowFISH_K562	chr12	54304241	54304761	NFE2|chr12:54698025-54698545:*	-0.892641	chr12	54301120	54301121	NFE2	True	8.45026925497e-102	0.999999964425	True	K562	Fulco2019	True	False	3641	0	472	477	3.26025
361	FlowFISH_K562	chr12	54306981	54307501	COPZ1|chr12:54700765-54701285:*	0.04612936	chr12	54301202	54301203	COPZ1	False	0.364936017979	1.0	True	K562	Fulco2019	False	False	6299	0	493	498	0.25045484
362	FlowFISH_K562	chr12	54306981	54307501	HNRNPA1|chr12:54700765-54701285:*	-0.1366466	chr12	54280193	54280194	HNRNPA1	True	0.00512905205145	0.999999986545	True	K562	Fulco2019	True	False	27308	0	657	662	0.14579067
364	FlowFISH_K562	chr12	54306981	54307501	NFE2|chr12:54700765-54701285:*	-0.25948682	chr12	54301120	54301121	NFE2	True	1.0699271656e-10	0.999999726544	True	K562	Fulco2019	True	False	6381	0	493	498	0.4283318
365	FlowFISH_K562	chr12	54330821	54331321	HNRNPA1|chr12:54724605-54725105:*	-0.03444601	chr12	54280193	54280194	HNRNPA1	False	0.961997252941	0.996967892774	True	K562	Fulco2019	False	False	51128	0	843	848	0.019174652
367	FlowFISH_K562	chr12	54330821	54331321	NFE2|chr12:54724605-54725105:*	0.06857117	chr12	54301120	54301121	NFE2	False	0.832942048488	0.994740203934	True	K562	Fulco2019	False	False	30201	0	680	684	0.16401632
371	FlowFISH_K562	chr12	54352001	54352501	NFE2|chr12:54745785-54746285:*	-0.02474211	chr12	54301120	54301121	NFE2	False	0.892737161892	0.999999164919	True	K562	Fulco2019	False	False	51381	0	845	850	0.29618517
386	FlowFISH_K562	chr12	54367481	54368001	ITGA5|chr12:54761265-54761785:*	0.092075095	chr12	54419459	54419460	ITGA5	False	0.629148059186	0.966259548825	True	K562	Fulco2019	False	True	51978	0	41	46	0.0016037135
390	FlowFISH_K562	chr12	54368121	54368621	ITGA5|chr12:54761905-54762405:*	-0.03153285	chr12	54419459	54419460	ITGA5	False	0.991842183927	0.999998982384	True	K562	Fulco2019	False	True	51338	0	46	51	0.0027856668
394	FlowFISH_K562	chr12	54368641	54369601	ITGA5|chr12:54762425-54763385:*	0.033859812	chr12	54419459	54419460	ITGA5	False	0.943864635415	1.0	True	K562	Fulco2019	False	True	50818	0	50	59	0.006379136
398	FlowFISH_K562	chr12	54370161	54370681	ITGA5|chr12:54763945-54764465:*	0.000403374	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	True	49298	0	62	67	0.007843835
402	FlowFISH_K562	chr12	54376721	54377261	ITGA5|chr12:54770505-54771045:*	0.015549103	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	True	42738	0	114	119	0.0076071145
406	FlowFISH_K562	chr12	54379021	54379521	ITGA5|chr12:54772805-54773305:*	-0.049036237	chr12	54419459	54419460	ITGA5	False	0.859643233351	1.0	True	K562	Fulco2019	False	True	40438	0	132	136	0.01651137
410	FlowFISH_K562	chr12	54379541	54380081	ITGA5|chr12:54773325-54773865:*	0.003992757	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	True	39918	0	136	141	0.005385346
414	FlowFISH_K562	chr12	54383101	54383601	ITGA5|chr12:54776885-54777385:*	0.02499919	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	True	36358	0	163	168	0.00844077
418	FlowFISH_K562	chr12	54388721	54389261	ITGA5|chr12:54782505-54783045:*	0.030684795	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	True	30738	0	207	213	0.005542385
434	FlowFISH_K562	chr12	54423121	54423661	ITGA5|chr12:54816905-54817445:*	-0.002375803	chr12	54419459	54419460	ITGA5	False	0.991842183927	0.999999999924	True	K562	Fulco2019	False	False	4202	0	476	481	0.037788324
438	FlowFISH_K562	chr12	54425361	54426101	ITGA5|chr12:54819145-54819885:*	0.02080828	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	False	6642	0	494	500	0.014489826
442	FlowFISH_K562	chr12	54427401	54428041	ITGA5|chr12:54821185-54821825:*	0.025218803	chr12	54419459	54419460	ITGA5	False	0.991842183927	0.999900636698	True	K562	Fulco2019	False	False	8582	0	510	516	0.020818425
446	FlowFISH_K562	chr12	54428661	54429181	ITGA5|chr12:54822445-54822965:*	-0.053070988	chr12	54419459	54419460	ITGA5	False	0.943864635415	0.999999999998	True	K562	Fulco2019	False	False	9722	0	519	524	0.04114745
450	FlowFISH_K562	chr12	54432121	54432881	ITGA5|chr12:54825905-54826665:*	-0.044330156	chr12	54419459	54419460	ITGA5	False	0.943864635415	1.0	True	K562	Fulco2019	False	False	13422	0	546	553	0.019198129
454	FlowFISH_K562	chr12	54439481	54439981	ITGA5|chr12:54833265-54833765:*	-0.037348528	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	False	20522	0	604	609	0.0077293664
458	FlowFISH_K562	chr12	54448241	54448741	ITGA5|chr12:54842025-54842525:*	-0.033128529	chr12	54419459	54419460	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	False	29282	0	672	677	0.004183189
462	FlowFISH_K562	chr12	54462921	54463481	ITGA5|chr12:54856705-54857265:*	0.025892023	chr12	54419459	54419460	ITGA5	False	0.991842183927	0.999999975353	True	K562	Fulco2019	False	False	44022	0	787	792	0.010182838
466	FlowFISH_K562	chr12	54475441	54475941	ITGA5|chr12:54869225-54869725:*	-0.006439306	chr12	54419459	54419460	ITGA5	False	0.991842183927	0.999999999903	True	K562	Fulco2019	False	False	56482	0	885	890	0.007894317
516	FlowFISH_K562	chr12	56007083	56007104	SUOX|chr12:56400867-56400888:*	-0.527499842	chr12	55997180	55997181	SUOX	True	0.00017022		True	K562	Qi2018	True	False	9924	0	525	526	0.07729139
517	FlowFISH_K562	chr17	32893739	32895015	MYO1D|chr17:31220757-31222033:*	-0.387	chr17	32877176	32877177	MYO1D	True		0.256838173	True	K562	Huang2018	True	False	17839	0	577	588	0.10717129
519	FlowFISH_K562	chr17	32893739	32895015	TMEM98|chr17:31220757-31222033:*	-0.329	chr17	32927910	32927911	TMEM98	True		0.826891353	True	K562	Huang2018	True	True	34171	0	181	192	0.058141567
520	FlowFISH_K562	chr17	32897552	32897572	MYO1D|chr17:31224570-31224590:*	-0.69	chr17	32877176	32877177	MYO1D	True		0.387425634	True	K562	Huang2018	True	False	20396	0	607	608	0.65987223
521	FlowFISH_K562	chr17	32909510	32913691	MYO1D|chr17:31236528-31240709:*	-0.82	chr17	32877176	32877177	MYO1D	True		0.425242787	True	K562	Huang2018	True	False	36515	0	700	734	0.03345504
523	FlowFISH_K562	chr17	32909510	32913691	TMEM98|chr17:31236528-31240709:*	-0.932	chr17	32927910	32927911	TMEM98	True		1.0	True	K562	Huang2018	True	True	18400	0	304	337	0.11239222
524	FlowFISH_K562	chr17	42699222	42699316	EZH1|chr17:40851240-40851334:*	-0.58	chr17	42745048	42745049	EZH1	True		0.736573728	True	K562	Xu2015	True	True	45826	0	89	91	0.059729252
624	FlowFISH_K562	chr19	12640011	12640531	DHPS|chr19:12750825-12751345:*	0.005092372	chr19	12681901	12681902	DHPS	False	0.964182074775	1.0	True	K562	Fulco2019	False	True	41890	0	120	125	0.07266544
632	FlowFISH_K562	chr19	12640011	12640531	WDR83OS|chr19:12750825-12751345:*	-0.0735873	chr19	12669488	12669489	WDR83OS	False	0.423974678742	0.999999999917	True	K562	Fulco2019	False	True	29477	0	217	222	0.052904226
635	FlowFISH_K562	chr19	12647491	12648071	DHPS|chr19:12758305-12758885:*	0.026163879	chr19	12681901	12681902	DHPS	False	0.673925773765	1.0	True	K562	Fulco2019	False	True	34410	0	179	184	0.06953253
643	FlowFISH_K562	chr19	12647491	12648071	WDR83OS|chr19:12758305-12758885:*	-0.04656063	chr19	12669488	12669489	WDR83OS	False	0.811961404352	0.999999999997	True	K562	Fulco2019	False	True	21997	0	276	281	0.16531588
646	FlowFISH_K562	chr19	12671911	12672491	DHPS|chr19:12782725-12783305:*	-0.177108955	chr19	12681901	12681902	DHPS	True	0.00168175524995	0.999501164354	True	K562	Fulco2019	True	True	9990	0	369	375	0.08613905
653	FlowFISH_K562	chr19	12671911	12672491	WDR83OS|chr19:12782725-12783305:*	-0.12470723	chr19	12669488	12669489	WDR83OS	False	0.557517162562	0.946208073065	True	K562	Fulco2019	False	False	3003	0	466	472	0.12870215
663	FlowFISH_K562	chr19	12676251	12676771	WDR83OS|chr19:12787065-12787585:*	-0.03586094	chr19	12669488	12669489	WDR83OS	False	0.859314966118	0.998600473463	True	K562	Fulco2019	False	False	7283	0	500	505	0.07863269
664	FlowFISH_K562	chr19	12716871	12717391	C19orf43|chr19:12827685-12828205:*	-0.06209383	chr19	12734774	12734775	C19orf43	False	0.413489075562	0.999999999918	True	K562	Fulco2019	False	True	17903	0	308	313	0.020519704
666	FlowFISH_K562	chr19	12716871	12717391	DHPS|chr19:12827685-12828205:*	0.02795951	chr19	12681901	12681902	DHPS	False	0.806915074155	0.999999865988	True	K562	Fulco2019	False	False	35490	0	721	726	0.037084956
674	FlowFISH_K562	chr19	12716871	12717391	WDR83OS|chr19:12827685-12828205:*	-0.01003764	chr19	12669488	12669489	WDR83OS	False	0.942333898429	0.997125475365	True	K562	Fulco2019	False	False	47903	0	818	823	0.015992187
675	FlowFISH_K562	chr19	12757471	12757991	C19orf43|chr19:12868285-12868805:*	0.01903705	chr19	12734774	12734775	C19orf43	False	0.694611332431	1.0	True	K562	Fulco2019	False	False	23217	0	625	630	0.053662263
679	FlowFISH_K562	chr19	12757471	12757991	JUNB|chr19:12868285-12868805:*	0.04341801	chr19	12791496	12791497	JUNB	False	0.761174794484	0.998899805863	True	K562	Fulco2019	False	True	34025	0	182	187	0.074310824
682	FlowFISH_K562	chr19	12757471	12757991	PRDX2|chr19:12868285-12868805:*	-0.005499965	chr19	12801858	12801859	PRDX2	False	0.79638058576	1.0	True	K562	Fulco2019	False	True	44387	0	101	106	0.055675935
684	FlowFISH_K562	chr19	12757471	12757991	RNASEH2A|chr19:12868285-12868805:*	0.03215082	chr19	12806556	12806557	RNASEH2A	False	0.656828969122	1.0	True	K562	Fulco2019	False	True	49085	0	64	69	0.058249194
686	FlowFISH_K562	chr19	12760491	12761031	C19orf43|chr19:12871305-12871845:*	-0.03038849	chr19	12734774	12734775	C19orf43	False	0.77533365524	0.999999999999	True	K562	Fulco2019	False	False	26257	0	648	654	0.019498114
690	FlowFISH_K562	chr19	12760491	12761031	JUNB|chr19:12871305-12871845:*	0.01549711	chr19	12791496	12791497	JUNB	False	0.971482099637	0.940128451048	True	K562	Fulco2019	False	True	31005	0	205	210	0.02416141
693	FlowFISH_K562	chr19	12760491	12761031	PRDX2|chr19:12871305-12871845:*	-0.005945322	chr19	12801858	12801859	PRDX2	False	0.845840660373	1.0	True	K562	Fulco2019	False	True	41367	0	124	130	0.011624095
695	FlowFISH_K562	chr19	12760491	12761031	RNASEH2A|chr19:12871305-12871845:*	0.01552654	chr19	12806556	12806557	RNASEH2A	False	0.972976817433	1.0	True	K562	Fulco2019	False	True	46065	0	88	93	0.013376169
697	FlowFISH_K562	chr19	12765971	12766531	C19orf43|chr19:12876785-12877345:*	-0.01347547	chr19	12734774	12734775	C19orf43	False	0.838915235361	1.0	True	K562	Fulco2019	False	False	31757	0	691	697	0.035722025
701	FlowFISH_K562	chr19	12765971	12766531	JUNB|chr19:12876785-12877345:*	0.07010909	chr19	12791496	12791497	JUNB	False	0.567162039979	0.999019808767	True	K562	Fulco2019	False	True	25525	0	248	253	0.1460963
704	FlowFISH_K562	chr19	12765971	12766531	PRDX2|chr19:12876785-12877345:*	-0.009159503	chr19	12801858	12801859	PRDX2	False	0.681291095627	1.0	True	K562	Fulco2019	False	True	35887	0	167	173	0.05325878
706	FlowFISH_K562	chr19	12765971	12766531	RNASEH2A|chr19:12876785-12877345:*	-0.00174462	chr19	12806556	12806557	RNASEH2A	False	0.984196889371	1.0	True	K562	Fulco2019	False	True	40585	0	130	136	0.022235237
708	FlowFISH_K562	chr19	12777511	12778031	C19orf43|chr19:12888325-12888845:*	-0.03039667	chr19	12734774	12734775	C19orf43	False	0.694611332431	1.0	True	K562	Fulco2019	False	False	43257	0	781	786	0.01608873
712	FlowFISH_K562	chr19	12777511	12778031	JUNB|chr19:12888325-12888845:*	-0.07957549	chr19	12791496	12791497	JUNB	False	0.567162039979	0.997278987482	True	K562	Fulco2019	False	True	13985	0	338	343	0.30594057
715	FlowFISH_K562	chr19	12777511	12778031	PRDX2|chr19:12888325-12888845:*	-0.092657423	chr19	12801858	12801859	PRDX2	True	3.44500609023e-14	1.0	True	K562	Fulco2019	True	True	24347	0	257	262	0.025754636
717	FlowFISH_K562	chr19	12777511	12778031	RNASEH2A|chr19:12888325-12888845:*	-0.05606044	chr19	12806556	12806557	RNASEH2A	False	0.170014253891	1.0	True	K562	Fulco2019	False	True	29045	0	221	226	0.042670794
719	FlowFISH_K562	chr19	12779131	12779731	C19orf43|chr19:12889945-12890545:*	-0.05130501	chr19	12734774	12734775	C19orf43	False	0.413489075562	1.0	True	K562	Fulco2019	False	False	44957	0	794	800	0.035948116
723	FlowFISH_K562	chr19	12779131	12779731	JUNB|chr19:12889945-12890545:*	-0.03584427	chr19	12791496	12791497	JUNB	False	0.82715871937	0.998773400902	True	K562	Fulco2019	False	True	12365	0	351	357	0.28198326
726	FlowFISH_K562	chr19	12779131	12779731	PRDX2|chr19:12889945-12890545:*	-0.075260441	chr19	12801858	12801859	PRDX2	True	3.19960530338e-09	1.0	True	K562	Fulco2019	True	True	22727	0	270	276	0.044880744
728	FlowFISH_K562	chr19	12779131	12779731	RNASEH2A|chr19:12889945-12890545:*	-0.04963657	chr19	12806556	12806557	RNASEH2A	False	0.3674108852	1.0	True	K562	Fulco2019	False	True	27425	0	233	239	0.049377903
730	FlowFISH_K562	chr19	12782291	12783171	C19orf43|chr19:12893105-12893985:*	-0.02152914	chr19	12734774	12734775	C19orf43	False	0.694611332431	1.0	True	K562	Fulco2019	False	False	48397	0	819	827	0.14816363
734	FlowFISH_K562	chr19	12782291	12783171	JUNB|chr19:12893105-12893985:*	-0.12810479	chr19	12791496	12791497	JUNB	True	0.00894145385278	0.999999886652	True	K562	Fulco2019	True	True	9205	0	376	383	0.27179366
737	FlowFISH_K562	chr19	12782291	12783171	PRDX2|chr19:12893105-12893985:*	-0.080993175	chr19	12801858	12801859	PRDX2	True	3.17959736805e-20	1.0	True	K562	Fulco2019	True	True	19567	0	295	303	0.21700448
739	FlowFISH_K562	chr19	12782291	12783171	RNASEH2A|chr19:12893105-12893985:*	-0.0131189	chr19	12806556	12806557	RNASEH2A	False	0.972976817433	1.0	True	K562	Fulco2019	False	True	24265	0	258	266	0.20010123
741	FlowFISH_K562	chr19	12784451	12784971	C19orf43|chr19:12895265-12895785:*	-0.04234863	chr19	12734774	12734775	C19orf43	False	0.694611332431	0.999999999514	True	K562	Fulco2019	False	False	50197	0	836	841	0.049697004
745	FlowFISH_K562	chr19	12784451	12784971	JUNB|chr19:12895265-12895785:*	-0.27578786	chr19	12791496	12791497	JUNB	True	0.00168953487189	0.97437037705	True	K562	Fulco2019	True	True	7045	0	392	398	0.19687212
748	FlowFISH_K562	chr19	12784451	12784971	PRDX2|chr19:12895265-12895785:*	-0.073159699	chr19	12801858	12801859	PRDX2	True	5.42603452138e-05	1.0	True	K562	Fulco2019	True	True	17407	0	312	317	0.13110188
750	FlowFISH_K562	chr19	12784451	12784971	RNASEH2A|chr19:12895265-12895785:*	-0.03245749	chr19	12806556	12806557	RNASEH2A	False	0.905665961082	0.999999996336	True	K562	Fulco2019	False	True	22105	0	275	280	0.06711418
752	FlowFISH_K562	chr19	12789831	12790351	C19orf43|chr19:12900645-12901165:*	-0.01280332	chr19	12734774	12734775	C19orf43	False	0.823654791386	1.0	True	K562	Fulco2019	False	False	55577	0	878	883	0.029199798
756	FlowFISH_K562	chr19	12789831	12790351	JUNB|chr19:12900645-12901165:*	-0.31210061	chr19	12791496	12791497	JUNB	True	9.24454053369e-13	0.999980729654	True	K562	Fulco2019	True	True	1665	0	434	440	0.47446418
759	FlowFISH_K562	chr19	12789831	12790351	PRDX2|chr19:12900645-12901165:*	-0.010755842	chr19	12801858	12801859	PRDX2	False	0.594712508825	1.0	True	K562	Fulco2019	False	True	12027	0	354	359	0.15018299
761	FlowFISH_K562	chr19	12789831	12790351	RNASEH2A|chr19:12900645-12901165:*	-0.0258688	chr19	12806556	12806557	RNASEH2A	False	0.669607839867	1.0	True	K562	Fulco2019	False	True	16725	0	317	322	0.1318396
